source,target
강아지 키우고 싶은데 역시 안돼겠지,I want to raise a puppy.
강아지 키울 수 있을까,Could I raise a puppy
강아지 키울까,I will raise a puppy
강원도 가서 살까,Go to Gangwon-do
같이 게임하자고 해도 되나,You can play together.
같이 놀러갈 친구가 없어,I do not have a friend to play together.
같이 먹었는데 나만 살찐 거 같아,"I ate together, but I think I'm only fat."
같이 수영장 가기로 했어,I decided to go to the swimming pool.
같이 있으면 힘든데 붙잡고 싶어,I want to hold it hard if I have together.
같이 피씨방 가자고 해볼까,Let's go to the pet
같이 할 수 있는 취미 생활 뭐 있을까,What can I do with my hobby
개강룩 입어볼까,Let's wear a dog
개강옷 예쁘게 입어 볼까,Let's wear a beautiful girl
개강이다,Open
개강이라니,It's a dog.
개같은 상황,A situation like a dog
개같이 되버렸어,I've been with a dog.
개기름 꼈어,I got a dog.
개념도 놓고 옴,I have a concept
개념이 없어,I do not have a concept.
개당황,Road
개당황했잖아 갑자기 물어 봐서,I was a relaxing. I suddenly asked.
개인적인 업무까지 다 시켜,Care for personal work
개인적인 일도 다 시켜,Come to personal work
개졸려,Dog
개좋아,Good
개학하니까 좋다,It's good for school.
걔 너무 싫다,I hate him too.
걔는 누굴 닮아서 그런거니,He's like a sister.
걔랑 같은 반 됐으면 좋겠다,I wish I had to be like her.
거지 같이 일해 놓고 갔어,I went to work together.
거지됐어,It's been afraid.
거짓말 했어,I lied.
거짓말을 나도 모르게 자꾸 해,I keep lying without knowing it.
거짓말을 하게 돼,You'll lie.
거짓말이 거짓말을 낳아,Lied lies
걱정 없이 살고파,I live without worry
걱정 좀 없이 살고 싶다,I want to live without worry.
건강 관리,healthcare
건강 빨리 회복해야지,I have to recover quickly.
건강검진 왔어,Health checkup
건강검진하러 옴,HoM
건강이 최고,Health is the best
건강이 최고인 것 같아,I think the health is the best.
건강하게 다이어트 하는 방법,How to Diet Healthy
건강한 다이어트법,Healthy Diet Act
건너건너 아는 사람인데 연락해도 될까,I know you're acting. Can I contact you?
건물주 되고싶어,I want to be a building
건물주가 짱인데,It's a building.
건방져,Cock
건조기 살까봐,Look at the dryer.
건조하네,Drying
걸레질도 해야 돼,I have to make a mop.
걸어 가고 있는데 깜깜해서 무서워,I'm walking and I'm afraid of it.
겁난다,Scare
게으른 동료가 있어,There's a lazy colleague.
게임 같이 하자고 할까,Let's go with a game.
게임 때문에 시간 다갔어,I went to time because of the game.
게임 때문에 폰이 점점 느려지는듯,"Because of the game, the phone is getting slower"
게임 재미있어,Game fun
게임 지겨워,Give a game
게임도 이제 재미없어,The game is now funny.
게임하고 싶어,I want to play
게임하다 시간 다갔어,I went to the game.
겨울 지나 봄이야,It's spring.
겨울에는 온천이지,"In winter, it is a hot spring."
겨울이 가고 봄이 올거야,Winter goes and spring will come.
격려 좀 해줘,Curate me.
격려가 필요해,I need an encouragement.
견과류 챙겨 먹어야지,I have to eat nuts.
결국 이런 운명이라니 슬프다,"Eventually, I am sad."
결정 못하겠어,I can not decide.
결정은 빠르면 빠를 수록 좋겠지,"The decision is fast, the faster."
결정은 빠를수록 좋겠지,The decision is the better.
결정을 못 내리겠어 어떻해,What do you do?
결정적인 물증이 없어,I do not have a decisive question.
결혼 했는데,I got married.
결혼 했어,I got married.
결혼도 다 돈이다,Marriage is money.
결혼식 가기 귀찮아,Wedding
결혼식 또 가야돼,I have to go to the wedding again.
결혼식때 하객이 없을 까봐 걱정돼,I am worried that there will be no guests at the wedding.
결혼식이 너무 많아,There are too many weddings.
결혼이나 하지 왜 자꾸 나한테 화 내냐구,"Why do not you get married,"
결혼준비 돈 많이 들겠지,I'll have a lot of money to get married.
결혼준비하는데 돈 얼마나 드나,How much money I'm getting ready to get married
결혼하는데 돈 많이 드네,I have a lot of money to get married.
결혼하는데 돈 얼마나 들까,How much money to get married
결혼하면 좋아,I like marriage
결혼하면 좋을까,Would be good to marry
결혼하면 행복할까,Would you be happy to marry
결혼하면 행복해,I am happy to marry
결혼하면 행복해질까,"If you get married,"
결혼할까,I will marry
결혼해도 되나,I can marry it.
결혼해도 될까,May I marry
결혼해야 하나,I have to get married
경쟁이 너무 치열해,Competition is too fierce
계속 공부해도 될까,Can I still study
계속 도전하는 거 귀찮아,I keep challenging.
계속 방학이면 좋을텐데,It would be nice if it's still vacation.
계속 보고 싶어,I want to keep seeing
계속 보고 싶으면 어떡해,What do you want to keep seeing?
계속 속이 진짜 안 좋아,I keep myself really good.
계속 엇갈리는 느낌,I feel like I keep going
계속 학생하고 싶어,I want to continue students
계속 한숨만 나와,Continue to sigh
고3은 공부만 해야겠지,High 3 should be studying.
고3이니까 공부해야겠지,I have to study because it is 3.
고구마 다이어트 해야지,I have to wear sweet potato diet.
고구마만 먹고 다이어트 해야지,I have to eat sweet potatoes and diet.
고기 구워 먹고 싶다,I want to eat meat
고기 먹고 싶어,I want to eat meat
고데기 망했어,I ran.
고데기 했는데 망했어,"I tried it,"
고독한 밤,Lonely night
고마운 사람들이 많아,There are a lot of people thanks.
고무신 거꾸로 신으면 어쩌지,What do you do if you wear a rubber
고민 있어,I'm worried.
고민 좀 들어줄래,I'll listen to you.
고백하고 후회하면 어떡하지,I confess and regret it.
고시원 너무 답답해,The Goswon is so frustrated
고시원 답답해,Goswon's frustration
고시원에서 나가고 싶어,I want to go out in the Goshiwon
고시원에서 탈출하고 싶어,I want to escape from the Goshiwon
고양이 동영상 보는 중,Cat video watching
고양이 키우고 싶어,I want to raise a cat
고양이 키우고 싶어,I want to raise a cat
고의는 아닌데 실수를 한 거 같아,I do not think it's a mistake.
고집 센 사람,Stubborn
고집하고는,Stubborn
골프 못 치는데,I can not get golf.
골프 배워야 돼,I have to learn golf.
골프 어려워,Golf difficult
골프치러 가야돼,I have to go golf.
곱창 먹고 싶어,I want to eat a giblet
곱창 생각나,I remember a giblet.
공무원 괜찮겠지,The public official will be okay.
공무원 되고 싶다,I want to be a civil servant
공무원 되면 좋겠다,I would like to be a civil servant.
공무원 시험 공부 힘들다,It's hard to study public official exam.
공무원 시험 죽을 거 같아,I think I will die for a civil servant test.
공무원 시험 힘들어ㅠㅠ,Public official examination is hard ㅠ ㅠ
공무원 준비할까,I will prepare for civil servants
공무원이 좋지,Public officials are good.
공복이라 신경이 예민해져,I am sensitive to the fool.
공복이라 예민해,I am sensitive.
공복이면 예민함,"If it is a fasting,"
공부 계속해도 될까,Can I keep studying
공부 꼭 해야 할까,I have to study
공부 때려치워야 하나,I have to go to study.
공부 시작해도 될까,Can I start studying
공부 왜 해야 돼,Why should I study?
공부 잘 안돼,I can not study well.
공부 잘하고 싶어,I want to study well.
공부 좀 더 할 걸,I'll study.
공부 하기 싫다,I do not want to study.
공부는 내 체질이 아닌 것 같아,I do not think I'm not my constitution.
공부로 먹고 살 수 있을까,Could I eat and live in studying
공부방법이 잘못된걸까,How did you study?
공부하기 싫어,I do not want to study.
공부하기 싫은 날,I do not want to study
공부하는 낙이 없어,I do not have a law to study.
공부하는 이유,Why study
공부하는 이유가 없어,I do not have a reason to study.
공시 준비 힘들어,It's hard to prepare.
공시 준비 힘들어,It's hard to prepare.
공시 준비중,Preparing for disclosure
공시 준비하는데 힘들다,It's hard to prepare for disclosure.
공시생이야,It's a public student.
공연 보고 싶어,I want to see the performance
공연 보러 가고 싶어,I want to go to the performance
공책 필기 나만 힘들어,I am only tired of notebook writing
공황장애 생겼어,Panic disorder
공황장애 있어,Panic disorder
공휴일에는 집이 최고,"On holidays,"
공휴일에는 집콕,"On holidays,"
과거는 잊고 앞으로 나아 가야지,I have to forget the past and go forward.
과거는 중요하지 않아,The past is not important.
과식해서 소화가 안돼,I can not digest
과식했나 봐,I have an overeated.
과식했다,Overpressed
과외비 부담되겠지,It will be borne by
과외비 비싸,Extracorporeal expensive
과일 먹고 자야지,I have to eat fruit.
과일 먹어야지,I have to eat fruit.
과일 안 먹게 돼,I do not eat fruit.
과일 잘 안 먹게 돼,I do not eat fruit well.
과일 챙겨 먹어야지,I have to eat fruit.
관계가 계속 애매하다,Relationships continue to ambiglicate
관심 끄라고 하고 싶다,I want to do it.
관심 좀 안 가졌으면,If you have not been interested
관절염 같애,Arthritis
관절염인가,Arthritis
광고가 안 끝나,I do not have an ad
괜찮아지고 있어,It's okay.
괜찮은 사람인데 사귀긴 싫어,I do not want to have a good person.
괜히 건들지 말라고,Do not touch it.
괜히 기다렸어,I waited it.
괜히 농담해서 망했다,I was joking
괜히 아까운 시간 버렸다,I've been over time.
괜히 창피해,I'm embarrassed.
괴물이 되어 가는 느낌이 들어,I feel a monster.
교보문고 왔어,I came to Kyobo Book.
교양 수업 재밌어,Liberalization class funny
교양수업 시간에 마음에 드는 애 있어,I have a child in my culture class.
교양수업 은근 재미져,Liberal classes are fun
교양수업에서 마음에 드는 애 있어,I have a child in my culture class.
교양수업이 재미있어,Liberalization classes are fun.
교양이 전공보다 재미있어,Liberalization is more fun than major
교직이수 가능할까,It is possible to be tip
교통사고 났었어,I was traffic accident.
교통사고 당했어,I was a traffic accident.
교회 가기 싫어,I hate the church.
교회 갔다 만났어,I met the church.
교회에서 만났어,I met in the church.
구박하면서 엄청 일 시켜,I work with a lot of work
군대 갔다 올 때까지 기다릴 수 있을까,Could I wait until I came to the army
군대 기다려 주려고,To wait for the army
군대 기다려도 될까,Can I wait for the army?
군대 기다리면 부담스러워할까,I will be burdensome if you wait for the army
군대 기다릴 수 있을까,Can I wait for the army
군대 언제 끝나나,When the army ends
군대 전역 기다려,Wait through the army
굿모닝,good morning
궁금하면 오백원,"If you wonder,"
궁금하지,I'm curious.
궁금해,I'm curious
궁금해 알려줘,I'm curious.
귀 아파,Earp
귀가 가려워,Ears are awesome
귀가 간지러,Ears
귀가 윙윙거려,Ears buzz
귀농 어때,How to earn
그 사람이 나 안 좋아하는 거 같아,I think he's not like that.
그 사람이 나 좋아해줬으면 좋겠다,I hope that person likes me.
그 사람이 행복했으면 좋겠다,I want him to be happy.
그 시절엔 다 그랬지,I did not.
그냥 고백할걸,Just confess
그냥 공무원이 좋을 듯,Just a public official
그냥 내버려 둬 주었으면,If you just leave it alone
그냥 선 볼까,Just see you
그냥 쉬고 싶다,I just want to rest.
그냥 씹어야겠다,I just have to chew.
그냥 이렇게 살고 싶어,I just want to live like this.
그냥 자는 거 아니지,I'm just sleeping.
그냥 잘못했다고 하면 될거 같은데 자꾸 변명해,I think you'd just do it.
그냥 택시 타야지,Just take a taxi.
그냥 할까,I'll just do it.
그냥 혼자 밥이나 먹어야지,I just have to eat alone.
그냥 혼자 있는게 좋아,I just like to be alone.
그동안 잘 지냈나요,How have you been
그땐 그랬지,That's what I did.
그래 그러자,Yeah
그래 이제 결정했어,"Yeah, I decided it now."
그래도 좀 기대했는데,I've always expected it.
그런 말을 왜 하지,Why do not you say that?
그런 사람인가보다 해야하나봐,I have to do it.
그런 사람인갑다 해야지,I have to do that.
그런 친구 아니었는데 너무 귀찮게 하네,"It was not such a friend, but it's too annoying."
그렇게 갈 거면서,I go to that.
그렇게 오래 살았는데도 이해를 못하겠어,I do not understand that even though I lived so long.
그렇게 할래,I'll do that.
그림 잘 그리고 싶다,I want to do well
그림 좀 잘 그렸으면 좋겠다,I wish I could paint a better picture.
그만 두고 나오고 싶어,I want to leave it.
그만 먹어야 하는데,I have to eat it.
그만 살고싶어,I want to live.
그저 그런 하루,Just that day
근사한 곳 알아 냈어,I found out a good place.
근육 있으면 멋있을텐데,It would be great if I have muscles.
금값 알아,I know the gold value.
금값 어때,How about the gold price?
금사빠인가,Familiarity
금수저 물고 태어나면 좋겠지,I wish I was born with a gold water.
금수저로 태어났으면,If you were born as a gold water
금수저로 태어났으면 좋았을텐데,I would have been nice to have been born as a gold water.
금연이 쉽지 않아,Non-smoking is not easy.
기 빨렸어,I fucked.
기념일 다 챙기는거 귀찮아,I'm bothering everything.
기념일 또 까먹었어,I forgot the anniversary again.
기념일 못챙겼어,I did not have a anniversary.
기념일 챙기기 귀찮아,Anniversary
기능 좀 알려줘봐봐,Please let me know.
기다리는 것도 지쳐,Waiting to wait
기다리라고 말 못하겠어,I can not say you wait.
기다림이 습관이 됐나봐,Waiting is a habit.
기대가 무너졌어,Expectations collapsed.
기대가 부담스러운데 떨쳐낼 수 있는 방법 있을까,"I have a burdensome I expected,"
기대하고 있었는데,I was expecting
기대하지 말걸,I do not expect.
기대했는데,I expected
기댈 수 있는 사람,A person who can lean
기력이 없어,I do not have an enemy.
기름값 올랐어,I climbed oil.
기본이 뭔지도 모르는 것 같아,I do not think the basics are.
기본이 안 되어 있어,It's not basic.
기부 좀 했어요,I donated.
기부했어,I donated.
기분 꿀꿀해,I feel good
기분 나쁜 농담을 계속하고 있어,I'm going to have a bad joke.
기분 울적해서 좀 걷고 있어,I'm feeling a little walking.
기분 전환 하고 싶어,I want to make a mood
기분 전환이 필요해,I need a mood conversion.
기분이 그지 같아,I feel like I feel like it.
기분이 더러워,I feel dirty.
기분이 묘해,Mood
기분이 이상해,I feel strange
기숙사 괜찮을까,Does the dormitory are okay?
기숙사 떨어졌어,The dormitory fell.
기숙사 사는거 어떨까,What about living in dormitory?
기숙사 살면 불편해,It's uncomfortable to live in dormitory.
기숙사 안됐어,I did not have a dormitory.
기술 배울까,How to learn technology
기차 타고 여행 가고 싶어,I want to travel to the train
기차여행 가고 싶어,I want to go on a train trip
기침도 못하겠어,I can not cough.
기침도 편하게 못해,I can not cough comfortably.
기프트콘 받았어,I got the gifts.
기프트콘 선물 괜찮을까,I'll be okay for gifts.
기프트콘 선물해볼까,Let's give a gift gift
기프트콘 주면 좋아할까,I would like to give it to the gifts
기프트콘으로 선물 받았어,I got a gift with my gifts.
기프트콘으로 선물 해야겠다,I have to present with the gifts.
기회를 놓쳤어,I missed the opportunity.
기회를 못 잡았어,I could not get a chance.
기획사니까 당연히 예쁜 애들 많겠지,I do not know if it's a planner.
기획사에 예쁜 애들 많겠지,There's a lot of pretty kids in the planning.
긴 머리 관리 어렵다,Long hair management is difficult
긴 머리 관리하는 거 힘들다,It's hard to manage long hair.
긴 시간이 걸렸지만 괜찮아,"It took a long time, but it's okay."
긴장 푸는 법 알려줘,Tell me how to relax.
긴장돼,I'm nervous.
긴장돼서 땀나네,I'm nervous and sweat.
길거리에서 연락처 물어보면 줘도 되나,You can give me a contact on the street.
길에서 담배 피우는 사람 싫어,I hate people smoking on the road.
길에서 번호 따였어,I got a number on the road.
길에서 전번 물어보면 줘도 되나,I can give it to me on the road.
길에서 헌팅 당했어,I was hunted on the road.
길은 멀고 해는 진다,The road is far and sunny
길이 미끄러워서 미끄러질뻔했어,I was almost slippery.
길이 안보여,I can not see the road
길이 얼어서 미끄러질뻔했어,I was almost slippery.
길이 얼었어,The road was frozen.
김떡순 먹고 싶어,I want to eat Kim Til Soun
김치도 없네,There's no kimchi.
김치볶음밥 먹어야지,I have to eat kimchi fried rice.
김치볶음밥이나 만들어 먹어야지,I have to eat kimchi stir-fried rice.
김치찌개 먹고 싶어,I want to eat kimchi stew
까아 오빠들 컴백한다,Comeback
깜깜한데 전기 안들어오네,I'm afraid I do not.
깡 마른 거 같아,I think I do not know.
꼴 사나워질 것 같은데,I think I'll be fascinated.
꽃 받고 싶다,I want to get flowers
꽃 사고 싶어,I want to buy a flower
꽃 살까,I live a flower
꽃 선물 좋아할까,I like flower gifts
꽃 선물해 볼까,Let's present a flower
꽃 예쁘게 말렸어,I drank flowers.
꽃게탕 맛있다,Flower breeze
꽃게탕 진짜 밥도둑,Flower Baskang Real Bob Thief
꽃꽂이 배우는 중,Learning a flower arrangement
꽃꽂이 배우니까 좋다,It's good to have a flower arrangement.
꽃놀이 가고 싶어,I want to go to flower
꽃다발 말려봐야지,I have to take a bunch of flowers.
꽃다발 말리면 에쁘겠지,"If you're a bunch of flowers,"
꽃다발 받았어,I got a bouquet.
꽃다발 샀어,I bought a bouquet.
꽃다발 선물 괜찮지,Bouquet of bouquet is okay.
꽃다발 선물 받았어,I got a bouquet gift.
꽃다발 선물 어때,How about a bouquet gift
꽃다발 준비했어,I prepared a bouquet.
꽃바구니 선물이랑 과일 바구니 선물 뭐가 좋아,Flower basket gift and fruit basket Gift
꽃바구니가 좋을까 과일바구니까 좋을까,It's good to have a flower basket.
꽃선물 받고 어,Flower gifts
꿀잼,Honeymoon
꿈은 많은데,There's a lot of dreams.
꿈이 너무 많아,There are too many dreams.
꿈이 너무 무서웠어,My dream was too scared.
꿈이 다양해,Dreams of dreams
꿈이 두 개야,Two dreams
꿈이 없어,I do not have a dream.
꿈이 이루어질까,Dreams come
꿈이 자꾸 바뀌어,Dreams change
꿈이 현실이었으면,If your dream was reality
끝나니까 허무하다,End
끝나면 좋을 줄 알았는데,I thought it would be nice.
낌새가 이상하더니 딱 걸렸어,I have a strange and I was strange.
낌새가 있더니 딱 걸렸어,I have a good time and I got it.
나 감정쓰레기통이었나봐,I think I was an emotional trash.
나 갖고 장난친건가,I have a joke
나 같은 사람은 동물 키우면 안되겠지,A person like me will not raise an animal.
나 같이 예쁜 애를 왜 갈구지,Why are you going to be pretty like me
나 거짓말 못하겠어,I can not lie.
나 결정 잘 한거지,I do not care.
나 결정했어,I decided.
나 괜찮지 않니,I'm not okay.
나 교직이수할 수 있을까,Can I be teaching
나 그동안 뭐한거니,I've been doing what I've been doing.
나 그지임,I am
나 내일 기숙사 가야돼,I have to go tomorrow.
나 내장비만이래,I have been
나 너무 못 생겼어,I did not have too much.
나 너무 소심해,I'm so timid.
나 노트북 사줘,Give me a laptop.
나 놀려먹기 쉬운가,I am easy to eat
나 누구게,Anyone
나 누락됐나봐,I'm missing.
나 다른 거 할까,I will do something else.
나 대충한 거 아닌데,I'm not rough.
나 뒷담화하는 애 어떻게 할까,How do I do my back
나 뒷담화하는 애 있다는데 어떻게 하지,I do not know how to do it.
나 많이 기대했는데,I expected a lot.
나 말 실수한 거 같아,I think I made a mistake.
나 맨날 속는 거 같아,I think I am all the time.
나 머리 나쁜 듯,I like my head
나 머리가 나뿐 것 같아,I think I'll have my head.
나 먼저 잘게,I first do fine
나 모르는게 왜 이렇게 많지,Why do not you know so much
나 몰래 사귀는 거 같애,I think I'm sneaking out.
나 무시 당한 거 같아,I think I was ignored.
나 무시하는 거 같아,I think I ignore me.
나 무시하는 사람 어떻게 해,How do I ignore me?
나 무시하는 사람 짜증나,I ignorant person irritation
나 문제가 많은거 같아,I think I have a lot of problems.
나 뭐하는 거지,What are you doing?
나 미팅한다,Meet me
나 바뀌고 싶어,I want to change
나 바본인가 봄,I am a Bobbon
나 백수야,I'm a hundred years.
나 버림 받은 거 같아,I think I was abandoned.
나 보이스피싱 당한 거 같은데 어떡해,I think I've been doing it.
나 비만이야,I'm obesity.
나 사랑하니,I love you
나 상 받는대,I am awarded
나 새 옷 샀다,I bought a new clothes.
나 서류에서 광탈했어,I applied to the papers.
나 소개팅한다,I have a blind date
나 속은 거 같아,I think I'm in my heart.
나 속은듯,I fooled
나 수학여행 간다,I go to math travel
나 스마트폰 중독인가봐,I'm a smartphone addiction.
나 승진했어,I promoted.
나 실수한건가,I mistake
나 실수했나,I made a mistake.
나 아재인가,I am a child
나 아직 어른 아닌 거 같아,I do not think I'm still an adult.
나 아직도 애 같아,I still like it.
나 어때,How do I look
나 여기서 뭐하는 거지,What are you doing here?
나 연기 너무 못해 거짓말 못하겠어,I can not smoke too much.
나 열심히 할거야,I'll work hard.
나 오늘 개불쌍,I have a pair of charges today
나 오늘 따라 잘생겨 보이네,I look good today.
나 오늘 상 받았지롱,I got a prize today.
나 완전 계탔어,I got it completely.
나 왕따야,I'm a bullying.
나 왕따인거 같아,I think I'm bullied.
나 왜 멍청해,Why am I stupid?
나 왜 이러지,Why do I do this?
나 왜케 못 생겼지,I did not get it.
나 요즘 정신 놓고 살고 있는 거 같아,I think I'm living in mind these days.
나 욕 먹는 거 같아,I think I'm sick.
나 웃겨 봐,I'm funny.
나 은근 무시하는 애 있어,I'm ignoring the dog.
나 이상한가,I am strange
나 이상해,I'm strange
나 이제 졸업해,I'm graduating now.
나 인정받고 싶어,I want to be recognized
나 잘 살 수 있겠지,I can live well.
나 잘생겼지,I'm handsome.
나 잘하고 있는 건지 모르겠어,I do not know if I'm doing well.
나 잘하고 있는 걸까,I wonder if I'm doing well
나 잘하는 게 없어,I do not have you good.
나 잘하는게 없는거같아,I do not think I do good.
나 잘할 수 있을까,Can I do well
나 점점 괴물이 되고 있어,I'm getting a monster.
나 정신차리게 말해줘,I'll tell you the psychiatric.
나 좀 건들지 마,Do not ask me.
나 좀 건들지 말라고 해,Do not ask me.
나 좀 내버려 두면 좋겠어,I want you to leave me.
나 좀 내버려 뒀으면,If I left me
나 좀 안 건들였으면 좋겠어,I wish I could not do it.
나 좀 좋아해줬으면,If I liked me
나 좀 쩌는 듯,I like me
나 좀 칭찬해줘,I praise me.
나 좋아하게 만들고 싶다,I want to make it like
나 좋아하는 것 같아,I think I like it.
나 좋아해주는 사람 있겠지,I like it.
나 주름살 있나,I have a wrinkle.
나 죽을 뻔함,I almost die
나 짤릴 거 같아,I think I'll be fired.
나 쫌 불쌍한 거 같아,I think it's poor.
나 챙겨줄 사람이 필요해,I need someone to get it.
나 천재 같아,I like a genius.
나 천재임,I am a genius
나 축구는 진짜 잘해,I am really good at football.
나 친구들한테 인정받고 싶어,I want to be recognized to my friends.
나 폭식증인듯,I am a bear witness
나 폰 중독인 거 같애,I think I'm a von addiction.
나 폰겜 너무 많이해,I do too much for my phone.
나 폰겜했더니 몇 시간 갔어,I went to a couple of hours.
나 할 수 있어,I can do it.
나 함부로 말하는 거 고치고 싶어,I want to say you talk to me.
나 혼자 야근해,I am alone
나 혼자 여행 왔는데 괜찮네,"I traveled alone, but it's okay."
나 혼자서 축구 본다,I see my soccer alone.
나 화장을 너무 못해,I can not make a makeup too much
나 화장이 잘 안돼,I can not make a makeup.
나 회사에서 인정받고 싶어,I want to be recognized by the company
나가기도 귀찮아,It's annoying.
나는 그냥저냥 사는 거 같아,I think I'm just living.
나는 기분 나쁜데 농담이라고 계속해,"I am feeling bad,"
나는 나약한 존재,I am a weak presence
나는 누구인가,Who am I
나는 모자란 사람인 거 같아,I think I am a hat.
나는 뭐든 할 수 있다,I can do anything
나는 뭘 잘할까,What do I do
나는 왜 이 모양일까,Why am I like this?
나는 왜 이렇게 태어났을까,Why did I be born so
나는 왜 태어났을까,Why did I be born
나는 잘 할줄 아는 게 없는 것 같아,I do not think I know it's good.
나는 좋아하는 게 뭘까,What do I like
나는 좋은데 …,I am good ...
나는 친구가 없어,I do not have a friend.
나는 친구라고 믿었는데,I believed to be a friend.
나도 괜찮은 사람인데,I'm a good person.
나도 대우 받고 싶다고,I want to treat it.
나도 비키니 입고 싶다,I want to wear bikini
나도 상 받고 싶다,I want to get a prize.
나도 약초 캐볼까,I am also a herbal
나도 월급 필요해,I also need a salary
나도 위로 받고 싶다,I want to get up.
나도 이벤트가 되다니,I am also an event.
나도 이제 아재인가,I am now
나도 중국 진출해볼까,I'll go to China too
나도 집 사고 싶어,I want to buy a house
나도 커플룩 입고 싶다,I want to wear a coup
나두 잘할거야,I'll do it well.
나들이를 가볼까,Let's go out
나란 놈,Paranoid
나랑 놀아줘,Play with me
나랑 놀자,Come play with me
나랑 상관 없는 이야기들,Things that do not care about me
나랑 있는게 힘들었나봐,I think it was hard to have
나른하다,Take
나를 기다려줬으면 좋겠다,I wish I waited for me.
나를 너무 오래 기다리게했어,I've been waiting for me too long.
나를 너무 함부로 대해,About me too
나를 미소짓게 만든 너,You made me smile
나를 바꿀 수 있는 건 뭐가 있을까,What can I change me?
나를 친구로 생각 안했나봐,I did not even think of me as a friend.
나를 호구로 아는 사람 어떡해,What do you know with me?
나를 힘들게 하는 사람인데 붙잡고 싶어,I am a person who makes me hard and want to hold.
나만 갈궈,I only go to me.
나만 기다렸나봐,I just waited.
나만 꿈 없이 사는 거 같아,I think I live without dreaming.
나만 남친 없어,I do not have my boyfriend.
나만 뒤처지는 느낌이야,I feel like I'm behind me.
나만 반친구 없어,I do not have a half friend.
나만 빼고 행복해보여,I see it except for me.
나만 설레나,I am only
나만 설레는 거야,I'm sorry.
나만 솔로야,I only solo
나만 애기봐,I only look at me.
나만 야근해,I am only a good idea.
나만 우스워질거 같아,I think I will be funny.
나만 이상한 사람이래,I am only a strange person
나만 이상해졌어,I have been more than me.
나만 일시켜서 짜증폭발,I only worked on me and annoying explosion
나만 제자리걸음이야,I'm just in place.
나만 제자리인듯,I just like to be in place
나만 진급 못했어,I have not been promoted.
나만 친구라고 생각한건가,I thought I was a friend
나만 친구로 생각했나봐,I thought I was a friend.
나만 힘든 거 아니지,I'm not a hard time.
나만의 시간이 필요한 것 같아,I think I need my own time.
